image,mask,val_fold,fold_1,fold_2,fold_3,fold_4,fold_5
CEO003.jpg,CEO003_mask.png,1,val,train,train,train,train
CEO007.jpg,CEO007_mask.png,1,val,train,train,train,train
CEO011.jpg,CEO011_mask.png,1,val,train,train,train,train
CEO031.jpg,CEO031_mask.png,1,val,train,train,train,train
CEO032.jpg,CEO032_mask.png,1,val,train,train,train,train
CEO034.jpg,CEO034_mask.png,1,val,train,train,train,train
CEO040.jpg,CEO040_mask.png,1,val,train,train,train,train
CEO045.jpg,CEO045_mask.png,1,val,train,train,train,train
CEO050.jpg,CEO050_mask.png,1,val,train,train,train,train
CEO055.jpg,CEO055_mask.png,1,val,train,train,train,train
CEO056.jpg,CEO056_mask.png,1,val,train,train,train,train
CEO061.jpg,CEO061_mask.png,1,val,train,train,train,train
CEO064.jpg,CEO064_mask.png,1,val,train,train,train,train
CEO066.jpg,CEO066_mask.png,1,val,train,train,train,train
CEO070.jpg,CEO070_mask.png,1,val,train,train,train,train
CEO071.jpg,CEO071_mask.png,1,val,train,train,train,train
CEO073.jpg,CEO073_mask.png,1,val,train,train,train,train
CEO077.jpg,CEO077_mask.png,1,val,train,train,train,train
CEO078.jpg,CEO078_mask.png,1,val,train,train,train,train
CEO079.jpg,CEO079_mask.png,1,val,train,train,train,train
CEO082.jpg,CEO082_mask.png,1,val,train,train,train,train
CEO085.jpg,CEO085_mask.png,1,val,train,train,train,train
CEO087.jpg,CEO087_mask.png,1,val,train,train,train,train
CEO091.jpg,CEO091_mask.png,1,val,train,train,train,train
CEO098.jpg,CEO098_mask.png,1,val,train,train,train,train
CEO102.jpg,CEO102_mask.png,1,val,train,train,train,train
CEO110.jpg,CEO110_mask.png,1,val,train,train,train,train
CEO119.jpg,CEO119_mask.png,1,val,train,train,train,train
CEO121.jpg,CEO121_mask.png,1,val,train,train,train,train
CEO132.jpg,CEO132_mask.png,1,val,train,train,train,train
CEO133.jpg,CEO133_mask.png,1,val,train,train,train,train
CEO134.jpg,CEO134_mask.png,1,val,train,train,train,train
CEO136.jpg,CEO136_mask.png,1,val,train,train,train,train
CEO137.jpg,CEO137_mask.png,1,val,train,train,train,train
CEO146.jpg,CEO146_mask.png,1,val,train,train,train,train
CEO149.jpg,CEO149_mask.png,1,val,train,train,train,train
CEO156.jpg,CEO156_mask.png,1,val,train,train,train,train
